narrower,phecode1.2_label,hpo_label,phecode1.2_code,hpo_code
,Other deficiency anemia,Macrocytic anemia,281,HP_0001972
,Congenital anomalies of peripheral vascular system,Pulmonary arteriovenous malformation,747.2,HP_0006548
,Otitis media,Acute otitis media,381.1,HP_0000371
,Ventral hernia,Ventral hernia,550.5,HP_0002933
,Lymphoid leukemia,Chronic lymphatic leukemia,204.1,HP_0005550
,Myeloproliferative disease,Telangiectasia macularis eruptiva perstans,200,HP_0007583
,Arrhythmia (cardiac) NOS,Bradycardia,427.5,HP_0001662
,Nephritis and nephropathy in diseases classified elsewhere,Lupus nephritis,580.31,HP_0033726
,Acquired foot deformities,Arthropathy,735,HP_0003040
,Wheezing,Wheezing,512.1,HP_0030828
,Aortic valve disease,Aortic valve stenosis,394.3,HP_0001650
,Abnormality of red blood cells,Reduced hematocrit,289.9,HP_0031851
,Aortic aneurysm,Abdominal aortic aneurysm,442.1,HP_0005112
,Other and unspecified congenital anomalies,Situs inversus totalis,759,HP_0001696
,Nervous system congenital anomalies,Lipomyelomeningocele,752,HP_0025480
,Extrapyramidal disease and abnormal movement disorders,Palatal myoclonus,333,HP_0010530
,Other retinal disorders,Geographic atrophy,362,HP_0031609
,Cutaneous lupus erythematosus,Abnormality of the skin,695.41,HP_0000951
,Disorders of menstruation and other abnormal bleeding from female genital tract,Infertility,626,HP_0000789
,Anatomical abnormatilies of kidney and ureters,Secondary vesicoureteral reflux,586.1,HP_0033739
,Convulsions,Infantile spasms,345.3,HP_0012469
,Convulsions,Bilateral tonic-clonic seizure,345.3,HP_0002069
,Disorders of menstruation and other abnormal bleeding from female genital tract,Postmenopausal bleeding,626,HP_0033840
,Osteoarthritis; localized,Osteoarthritis,740.1,HP_0002758
,Diseases and other conditions of the tongue,Abnormality of the gastrointestinal tract,529,HP_0011024
,Myeloproliferative disease,Refractory anemia with ringed sideroblasts,200,HP_0004828
,Lack of coordination,Dysdiadochokinesis,350.3,HP_0002075
,"Localized superficial swelling, mass, or lump",Hordeolum,687.2,HP_0010606
,Methicillin sensitive Staphylococcus aureus,Methicillin-resistant Staphylococcus aureus infection,041.11,HP_0032326
,Lack of coordination,Dysgraphia,350.3,HP_0010526
,Peritonitis and retroperitoneal infections,Abnormality of the gastrointestinal tract,567,HP_0011024
,Acromegaly and gigantism,Acral overgrowth,253.11,HP_0033794
,Other heart block,Heart block,426.25,HP_0012722
,Diffuse diseases of connective tissue,Heliotrope rash,709,HP_0040324
,Other conditions of brain,Coma,348,HP_0001259
,Esophageal bleeding (varices/hemorrhage),Cirrhosis,530.2,HP_0001394
,Cardiac dysrhythmias,Paroxysmal supraventricular tachycardia,427,HP_0004763
,Digestive congenital anomalies,Abnormality of the gallbladder,750,HP_0005264
,Gingivitis,Abnormality of the gastrointestinal tract,523.1,HP_0011024
,Dislocation,Posterior subluxation of radial head,830,HP_0005739
,Cerebrovascular disease,Thromboembolic stroke,433,HP_0001727
,Acute renal failure,Renal tubular epithelial necrosis,585.1,HP_0008682
,Chronic bronchitis,Chronic bronchitis,496.2,HP_0004469
,Secondary malignant neoplasm,Pleural effusion,198,HP_0002202
,Other disorders of metabolism,Bilirubinuria,277,HP_0031811
,Other and unspecified congenital anomalies,Asplenia,759,HP_0001746
,Miscarriage; stillbirth,Ectopic pregnancy,634,HP_0031456
,Lordosis (acquired),Scoliosis,737.2,HP_0002650
,Disorders of acoustic nerve,Sound sensitivity,389.5,HP_0025112
,Suicide or self-inflicted injury,Suicidal ideation,297.2,HP_0031589
,Other disorders of metabolism,Congenital generalized lipodystrophy,277,HP_0009059
,Valvular heart disease/ heart chambers,Tricuspid regurgitation,747.12,HP_0005180
,"Lymphoid leukemia, chronic",Carcinoma,204.12,HP_0030731
,Polymyositis,Myositis,709.4,HP_0100614
,Other diseases of blood and blood-forming organs,Hematological neoplasm,289,HP_0004377
,Disturbances of amino-acid transport,Cystathioninuria,270.1,HP_0003153
,Otitis media and Eustachian tube disorders,Blocked Eustachian tube,381,HP_0040269
,Other disorders of the kidney and ureters,Grade IV vesicoureteral reflux,586,HP_0033741
,Vascular insufficiency of intestine,Intestinal ischemia,441,HP_0033404
,"Osteoarthrosis, generalized",Arthropathy,740.2,HP_0003040
,Other retinal disorders,Cystoid macular degeneration,362,HP_0008028
,Strabismus and other disorders of binocular eye movements,Esodeviation,378,HP_0020045
,Cancer of brain and nervous system,Pulmonary arterial hypertension,191.1,HP_0002092
,Abnormal involuntary movements,Titubation,350.1,HP_0030187
,"Paroxysmal tachycardia, unspecified",Supraventricular tachycardia,427.1,HP_0004755
,Myeloid leukemia,Myelodysplasia,204.2,HP_0002863
,Chromosomal anomalies,Brown anomaly,758.1,HP_0031622
,Major depressive disorder,Psychosis,296.22,HP_0000709
,Myocarditis,Myocarditis,420.1,HP_0012819
,Symptoms of the muscles,Skeletal myopathy,772,HP_0003756
,Other disorders of intestine,Arthropathy,569,HP_0003040
,Diseases of esophagus,Esophagitis,530,HP_0100633
,Other venous embolism and thrombosis,Hepatic vein thrombosis,452,HP_0030243
,Disorders of phosphorus metabolism,Nephrocalcinosis,275.53,HP_0000121
,Benign neoplasm of parathyroid gland,Neoplasm of the parathyroid gland,227.2,HP_0100733
,Atrial fibrillation and flutter,Typical atrial flutter,427.2,HP_0031671
,Pyelonephritis,Acute tubulointerstitial nephritis,590,HP_0004729
,Muscular dystrophies and other myopathies,Periodic hyperkalemic paralysis,359,HP_0007215
,Gastrointestinal hemorrhage,Bloody diarrhea,578,HP_0025085
,"Pathological, developmental or recurrent dislocation",Abnormal joint morphology,742.2,HP_0001367
,Antineoplastic and immunosuppressive drugs causing adverse effects,Abnormality of the gastrointestinal tract,963.1,HP_0011024
,"Osteomyelitis, periostitis, and other infections involving bone",obsolete Chronic recurrent multifocal osteomyelitis,710,HP_0005901
,Joint effusions,Joint swelling,741.4,HP_0001386
,Disorders of sweat glands,Acne inversa,705,HP_0040154
,Vitamin deficiency,Phosphaturic mesenchymal tumor,261,HP_0033987
,Malignant neoplasm of female breast,Breast carcinoma,174.11,HP_0003002
,Cardiac and circulatory congenital anomalies,Total anomalous pulmonary venous return,747,HP_0005160
,Disorders of sweat glands,Abnormality of the skin,705,HP_0000951
,Disorders of optic nerve and visual pathways,Pseudopapilledema,377,HP_0000538
,Other disorders of gallbladder,Acholic stools,575.7,HP_0011985
,Facial nerve disorders [CN7],Facial myokymia,352.2,HP_0000317
,Other acquired deformities of limbs,Wrist drop,736,HP_0031189
,Endometriosis,Abnormality of the genitourinary system,615,HP_0000119
,Bipolar,Bipolar affective disorder,296.1,HP_0007302
,Congestive heart failure; nonhypertensive,Low-output congestive heart failure,428,HP_0009805
,Other symptoms involving abdomen and pelvis,Hypersplenism,579,HP_0001971
,Angina pectoris,Coronary artery atherosclerosis,411.3,HP_0001677
,Subjective visual disturbances,Central scotoma,368.9,HP_0000603
,Intestinal disaccharidase deficiencies and disaccharide malabsorption,obsolete Glucose intolerance,271.3,HP_0000833
,Pectus and other congenital anomalies of ribs/sternum,Pectus carinatum,756.2,HP_0000768
,Speech and language disorder,Stuttering,315.2,HP_0025268
,Hydrocephalus,Communicating hydrocephalus,331.1,HP_0001334
,Congenital anomalies of female genital organs,Clitoral hypertrophy,751.11,HP_0008665
,Rickets or osteomalacia,Phosphaturic mesenchymal tumor,261.41,HP_0033987
,Abnormal movement,Anosmia,350,HP_0000458
,Other peripheral nerve disorders,Acroparesthesia,351,HP_0031006
,Symptoms of the muscles,Flexion contracture,772,HP_0001371
,Disorders of amino-acid metabolism,Hypersarcosinemia,270.2,HP_0010896
,Hereditary retinal dystrophies,Pigmentary retinopathy,362.7,HP_0000580
,Other and unspecified disorders of the nervous system,Spontaneous cerebrospinal fluid leak,349,HP_0032934
,Symptoms involving female genital tract,Urinary incontinence,624,HP_0000020
,Syncope and collapse,Loss of consciousness,788,HP_0007185
,Cerebrovascular disease,Carotid artery occlusion,433,HP_0012474
,Disorders of esophageal motility,Esophageal spasms,530.5,HP_0025271
,Cardiac congenital anomalies,Tetralogy of Fallot,747.1,HP_0001636
,Congenital deformities of feet,Talipes equinovarus,755.1,HP_0001762
,"Viremia, NOS",Viremia,079.9,HP_0020071
,Diseases and other conditions of the tongue,Glossitis,529,HP_0000206
,Primary open angle glaucoma,Open angle glaucoma,365.11,HP_0012108
,Tympanosclerosis and middle ear disease related to otitis media,Tympanosclerosis,385.5,HP_0020123
,Noninflammatory female genital disorders,Torsion of appendix of testis,619,HP_0033180
,Nerve root lesions,Neuritis,353.2,HP_0031002
,Myeloproliferative disease,Plasmacytoma,200,HP_0011857
,Other specified erythematous conditions,Erythroderma,695.8,HP_0001019
,"Myeloid leukemia, chronic",Myeloproliferative disorder,204.22,HP_0005547
,Prurigo and Lichen,Keratosis pilaris,695.7,HP_0032152
,Decreased white blood cell count,B lymphocytopenia,288.1,HP_0010976
,Cancer of liver and intrahepatic bile duct,Carcinoma,155,HP_0030731
,Neurofibromatosis,Neoplasm,199.4,HP_0002664
,Inflammatory bowel disease and other gastroenteritis and colitis,Fibrin casts,555,HP_0025697
,Pulpitis and necrosis of tooth pulp,Abnormality of the gastrointestinal tract,522.1,HP_0011024
,Lipoprotein disorders,Lipodystrophy,277.51,HP_0009125
,Secondary malignancy of bone,Carcinoma,198.6,HP_0030731
,Other symptoms/disorders or the urinary system,Urinary incontinence,599,HP_0000020
,Hallucinations,Hallucinations,292.6,HP_0000738
,Hepatitis NOS,Decreased liver function,070.9,HP_0001410
,Optic neuritis/neuropathy,Optic nerve hypoplasia,377.3,HP_0000609
,Other nondiabetic retinopathy,Hypertensive retinopathy,362.3,HP_0001095
,Substance addiction and disorders,Nicotine addiction,316,HP_0033543
,Purpura and other hemorrhagic conditions,Autoimmune thrombocytopenia,287,HP_0001973
,Other congenital musculoskeletal anomalies,Camptodactyly,756,HP_0012385
,Other paralytic syndromes,Paraparesis,344,HP_0002385
,Keloid scar,Abnormality of the skin,701.4,HP_0000951
,Cirrhosis of liver without mention of alcohol,Cirrhosis,571.51,HP_0001394
,Congenital anomalies of posterior segment of eye,Optic disc coloboma,753.2,HP_0000588
,Early or threatened labor; hemorrhage in early pregnancy,Premature birth,636,HP_0001622
,Gastroesophageal laceration-hemorrhage syndrome,Abnormality of the gastrointestinal tract,530.7,HP_0011024
,Hypertensive heart and/or renal disease,Hypertension,401.2,HP_0000822
,Aphasia/speech disturbance,Receptive aphasia,292.1,HP_0033848
,Other hereditary hemolytic anemias,Abnormality of blood and blood-forming tissues,282.9,HP_0001871
,Diseases of the larynx and vocal cords,Vocal cord paresis,473,HP_0001604
,Congenital deficiency of other clotting factors (including factor VII),Dysfibrinogenemia,286.12,HP_0011901
,"Lymphoid leukemia, acute",Acute lymphoblastic leukemia,204.11,HP_0006721
,Other benign neoplasm of uterus,Carcinoma,218.2,HP_0030731
,Megaloblastic anemia,Abnormality of blood and blood-forming tissues,281.1,HP_0001871
,Cancer of bronchus; lung,Neuroendocrine neoplasm,165.1,HP_0100634
,Leukemia,Follicular lymphoma,204,HP_0033125
,Congenital anomalies of urinary system,Unilateral renal hypoplasia,751.2,HP_0012583
,Chronic sinusitis,Sinusitis,475,HP_0000246
,Gingival and periodontal diseases,Gingival recession,523,HP_0030816
,Hereditary disturbances in tooth structure,Dens in dente,520.1,HP_0011088
,Erythematosquamous dermatosis,Inflammatory abnormality of the skin,690,HP_0011123
,Pleurisy; pleural effusion,Hemothorax,507,HP_0012151
,Other inflammatory spondylopathies,Rheumatoid arthritis,715,HP_0001370
,Benign neoplasm of adrenal gland,Neoplasm of the adrenal gland,227.1,HP_0100631
,Diseases of hard tissues of teeth,Carious teeth,521,HP_0000670
,Hallux valgus (Bunion),Abnormal joint morphology,735.3,HP_0001367
,Disorders of magnesium metabolism,Hypomagnesemia,275.3,HP_0002917
,Subjective visual disturbances,Scintillating scotoma,368.9,HP_0010822
,Other retinal disorders,Retinopathy of prematurity threshold,362,HP_0500064
,Hypercalcemia,Nephrocalcinosis,275.6,HP_0000121
,Infection of the eye,Conjunctival hyperemia,369,HP_0030953
,Kaposi's sarcoma,Kaposi's sarcoma,230,HP_0100726
,"Iron deficiency anemias, unspecified or not due to blood loss",Abnormality of blood and blood-forming tissues,280.1,HP_0001871
,Depression,PR segment depression,296.2,HP_0031594
,Congenital anomalies of mouth/tongue,Ankyloglossia,750.13,HP_0010296
,"Iron deficiency anemias, unspecified or not due to blood loss",Microcytic anemia,280.1,HP_0001935
,Coronary atherosclerosis,Coronary artery dissection,411.4,HP_0006702
,Transient cerebral ischemia,Stroke,433.31,HP_0001297
,Diseases of esophagus,Tracheoesophageal fistula,530,HP_0002575
,"Acute glomerulonephritis, NOS",Nephropathy,580.13,HP_0000112
,Psoriasis,Palmoplantar pustulosis,696.4,HP_0100847
,Hyperplasia of prostate,Hypoplasia of the prostate,600,HP_0008687
,Nervous system congenital anomalies,Porencephalic cyst,752,HP_0002132
,Disorders involving the immune mechanism,Decreased circulating IgG2 level,279,HP_0008348
,Lipoma,Benign neoplasm of the central nervous system,214,HP_0100835
,Cancer of other female genital organs (excluding uterus and ovary),Vulvar intraepithelial neoplasia,184.2,HP_0032202
,Optic neuritis/neuropathy,Optic nerve compression,377.3,HP_0007807
,"Cellulitis and abscess of leg, except foot",Cellulitis,681.5,HP_0100658
,Viral hepatitis,Intrahepatic cholestasis,070,HP_0001406
,Venous/cerebrovascular complications embolism in pregnancy and the puerperium,Varicose veins,671,HP_0002619
,Substance addiction and disorders,Heroin addiction,316,HP_0033517
,Other hypertrophic cardiomyopathy,Asymmetric septal hypertrophy,425.12,HP_0001670
,Nervous system congenital anomalies,Myeloschisis,752,HP_0030708
,Congenital anomaly of fingers/toes,Osseous syndactyly of toes,755.3,HP_0010717
,Jaundice (not of newborn),Jaundice,573.5,HP_0000952
,Congenital anomalies of urinary system,Exstrophy,751.2,HP_0100548
,Congenital anomalies of face and neck,Congenital facial diplegia,749,HP_0007188
,Acne,Pustule,706.1,HP_0200039
,Asthma with exacerbation,Bronchoconstriction,495.2,HP_4000007
,Leukoplakia of oral mucosa,Oral hairy leukoplakia,528.6,HP_0025126
,Abnormal movement,Parosmia,350,HP_0034004
,Epistaxis or throat hemorrhage,Epistaxis,477,HP_0000421
,Dementias,Neurodegeneration,290.1,HP_0002180
,Palindromic rheumatism,Abnormal joint morphology,716.8,HP_0001367
,Aphasia/speech disturbance,Aphasia,292.1,HP_0002381
,Polyarteritis nodosa,Autoimmunity,446.6,HP_0002960
,Nerve root lesions,Polyneuropathy,353.2,HP_0001271
,Stiffness of joint,Morbus Scheuermann,741.2,HP_0010891
,Mixed hyperlipidemia,Hyperlipidemia,272.13,HP_0003077
,Spirochetal infection,Erythema migrans,130,HP_0031180
,Polyphagia,Bulimia,260.7,HP_0100739
,Hidradenitis,Acne inversa,705.3,HP_0040154
,Genitourinary congenital anomalies,Ovotestis,751,HP_0012861
,Disorders of other cranial nerves,Hemifacial spasm,352,HP_0010828
,Attention deficit hyperactivity disorder,Hyperactivity,313.1,HP_0000752
,Congenital anomalies of limbs,Congenital hip dislocation,755,HP_0001374
,Diabetes mellitus,Macular edema,250,HP_0040049
,Osteoarthrosis,Arthritis,740,HP_0001369
,Vitamin deficiency,Decreased serum complement C4b,261,HP_0045044
,Phlebitis and thrombophlebitis,Venous thrombosis,451,HP_0004936
,Hypovolemia,Hypovolemia,276.5,HP_0011106
,"Allergies, other",Dairy allergy,949,HP_0410327
,Deficiency anemias,Iron deficiency anemia,281.9,HP_0001891
,Gastric ulcer,Gastric ulcer,531.2,HP_0002592
,Cancer of mouth,Carcinoma,145,HP_0030731
,Congenital hip dysplasia and deformity,Congenital hip dislocation,755.61,HP_0001374
,Congenital anomalies of skull and face bones,Pierre-Robin sequence,749.2,HP_0000201
,Cystoid macular degeneration of retina,Cystoid macular edema,362.23,HP_0011505
,Electrolyte imbalance,Hypokalemia,276.1,HP_0002900
,Redundant prepuce and phimosis/BXO,Paraphimosis,604.1,HP_0100588
,Strabismus and other disorders of binocular eye movements,Brown anomaly,378,HP_0031622
,Gout and other crystal arthropathies,Podagra,274,HP_0001854
,Amyloidosis,Cutaneous macular amyloidosis,270.33,HP_0032347
,Impaction of intestine,Chronic constipation,560.2,HP_0012450
,Muscle weakness,Distal muscle weakness,772.3,HP_0002460
,Irritable Bowel Syndrome,Abnormality of the gastrointestinal tract,564.1,HP_0011024
,Disorders of optic nerve and visual pathways,Iris coloboma,377,HP_0000612
,Histoplasmosis,Histoplasmosis,117.1,HP_0032256
,Valvular heart disease/ heart chambers,Aortic valve stenosis,747.12,HP_0001650
,Genitourinary congenital anomalies,Bilateral cryptorchidism,751,HP_0008689
,Diseases of pancreas,Acute pancreatitis,577,HP_0001735
,Other congenital musculoskeletal anomalies,Metaphyseal chondrodysplasia,756,HP_0005871
,Hodgkin's disease,Lymphoma,201,HP_0002665
,Strabismus (not specified as paralytic),Hypertropia,378.1,HP_0025586
,Pleurisy; pleural effusion,Pleuritis,507,HP_0002102
,Delirium dementia and amnestic and other cognitive disorders,Cerebral degeneration,290,HP_0007313
,Viral infection,Severe adenovirus infection,079,HP_0031694
,Cardiac congenital anomalies,Atrial septal defect,747.1,HP_0001631
,Glossitis,Smooth tongue,529.1,HP_0010298
,Intervertebral disc disorders,Diskitis,722,HP_0025679
,Pathologic fracture of femur,Pathologic fracture,743.22,HP_0002756
,Hemorrhage of fetus or newborn,Grade II preterm intraventricular hemorrhage,656.4,HP_0030749
,Intestinal infection,Diarrhea,008,HP_0002014
,Acute sinusitis,Absent frontal sinuses,464,HP_0002688
,Digestive congenital anomalies,Megaduodenum,750,HP_0030996
,Other disorders of eye,Ectopia pupillae,379,HP_0009918
,Lipoma,Subcutaneous lipoma,214,HP_0001031
,Other specified nonpsychotic and/or transient mental disorders,Drowsiness,291,HP_0002329
,Acquired deformities of hip,Coxa vara,736.3,HP_0002812
,Congenital anomalies of genital organs,obsolete Aplasia of the penis,751.1,HP_0040316
,Degeneration of macula and posterior pole of retina,Macular degeneration,362.2,HP_0000608
,Facial nerve disorders [CN7],Peripheral neuropathy,352.2,HP_0009830
,Redundant prepuce and phimosis/BXO,Abnormality of the genitourinary system,604.1,HP_0000119
,Disorders resulting from impaired renal function,Renal tubular dysfunction,588,HP_0000124
,Abnormal chest sounds,Rhonchi,512.3,HP_0030831
,Polyphagia,Polyphagia,260.7,HP_0002591
,Disorders of protein plasma/amino-acid transport and metabolism,Trimethylaminuria,270,HP_0003614
,"Congenital anomalies of upper limb, including shoulder girdle",Cubitus varus,755.4,HP_0025317
,Nervous system congenital anomalies,Central nervous system cyst,752,HP_0030724
,Chorioretinal scars,Chorioretinal scar,363.3,HP_0007777
,Pallor and flushing,Pallor,782.6,HP_0000980
,Disturbances of amino-acid transport,Abnormality of blood and blood-forming tissues,270.1,HP_0001871
,Acute and chronic tonsillitis,Enlarged tonsils,474,HP_0030812
,Anxiety disorder,Dissociative reaction,300.1,HP_0032940
,Eosinophilia,Hypereosinophilia,288.3,HP_0032061
,Vesicoureteral reflux,Pyelonephritis,586.12,HP_0012330
,Other nonspecific findings on examination of urine,Crystalluria,598.9,HP_0020074
,Alopecia,Abnormality of the skin,704.1,HP_0000951
,Disorders of optic nerve and visual pathways,Temporal optic disc pallor,377,HP_0012511
,Liver abscess and sequelae of chronic liver disease,Decreased liver function,571.8,HP_0001410
,Congenital anomalies of genital organs,Ovotestis,751.1,HP_0012861
,Aspergillosis,Histoplasmosis,117.4,HP_0032256
,"Other disorders of synovium, tendon, and bursa",Myopathy,727,HP_0003198
,Superficial cellulitis and abscess,Paronychia,681,HP_0001818
,Regional enteritis,Ileitis,555.1,HP_0032564
,Muscular dystrophies and other myopathies,Peripheral neuropathy,359,HP_0009830
,Anal and rectal conditions,Rectal prolapse,565,HP_0002035
,Elevated blood pressure reading without diagnosis of hypertension,Increased blood pressure,402,HP_0032263
,Infectious mononucleosis,Pharyngitis,079.2,HP_0025439
,Rash and other nonspecific skin eruption,Eczema,687.1,HP_0000964
,Paralytic ileus,Ileus,560.1,HP_0002595
,Exophthalmos,Proptosis,242.3,HP_0000520
,Disorders of calcium/phosphorus metabolism,Hypocalcemia,275.5,HP_0002901
,Chromosomal anomalies and genetic disorders,True hermaphroditism,758,HP_0010459
,"Congenital anomalies of muscle, tendon, fascia, and connective tissue",Popliteal pterygium,756.3,HP_0009756
,Hereditary disturbances in tooth structure,Taurodontia,520.1,HP_0000679
,Unspecified monoarthritis,Arthritis,716.2,HP_0001369
,Myoclonus,Blepharospasm,333.2,HP_0000643
,Congenital anomalies of limbs,Bowing of the legs,755,HP_0002979
,Abnormal findings on examination of urine,Recurrent myoglobinuria,598,HP_0003652
,Congenital anomaly of fingers/toes,Accessory carpal bones,755.3,HP_0004232
,Seborrheic dermatitis,Actinic keratosis,690.1,HP_0025127
,Other conditions of brain,Cerebral edema,348,HP_0002181
,Spinal stenosis,Lumbar spinal canal stenosis,720,HP_0004610
,Congenital anomalies of abdominal wall; diaphram,Hernia,756.1,HP_0100790
,Anomalies of jaw size/symmetry,Hyperplasia of the maxilla,526.3,HP_0430028
,Hemorrhage of gastrointestinal tract,Abnormality of the gastrointestinal tract,578.9,HP_0011024
,Tension headache,Tension-type headache,306.9,HP_0012228
,Leukemia,Acute megakaryocytic leukemia,204,HP_0006733
,Rickets or osteomalacia,Low levels of vitamin D,261.41,HP_0100512
,Occlusion of cerebral arteries,Middle cerebral artery stenosis,433.2,HP_0012493
,Occlusion of cerebral arteries,Cerebral infarct,433.2,HP_0025722
,Hypertensive chronic kidney disease,Increased blood pressure,401.22,HP_0032263
,Urethral syndrome,Urinary bladder inflammation,592.21,HP_0100577
,Pancreatic cancer,Insulinoma,157,HP_0012197
,Other deficiencies of circulating enzymes,Complement deficiency,277.6,HP_0004431
,Other arthropathies,Abnormal joint morphology,716,HP_0001367
,Cardiac and circulatory congenital anomalies,Vascular ring,747,HP_0010775
,Methicillin resistant Staphylococcus aureus,Methicillin-resistant Staphylococcus aureus infection,041.12,HP_0032326
,Cancer of kidney and renal pelvis,Neuroendocrine neoplasm,189.1,HP_0100634
,Cancer of of nasal cavities,Neoplasm of the middle ear,149.9,HP_0100799
,Chronic periodontitis,Periodontitis,523.32,HP_0000704
,Suppurative and unspecified otitis media,Otitis media,381.11,HP_0000388
,Retinal detachments and defects,Retinoschisis,361,HP_0030502
,Other disorders of eyelids,Involutional entropion,374,HP_0031736
,Speech and language disorder,Global developmental delay,315.2,HP_0001263
,Hematemesis,Abnormality of the gastrointestinal tract,578.1,HP_0011024
,"Peripheral vascular disease, unspecified",Intermittent claudication,443.9,HP_0004417
,Other congenital musculoskeletal anomalies,Bowing of the legs,756,HP_0002979
,Other symptoms involving urinary system,Enuresis nocturna,599.8,HP_0010677
,Irregular menstrual cycle/bleeding,Oligomenorrhea,626.1,HP_0000876
,Specific nonpsychotic mental disorders due to brain damage,Delirium,291.4,HP_0031258
,Thrombocytopenia,Thrombocytopenia,287.3,HP_0001873
,Breast cancer,Carcinoma,174,HP_0030731
,Disorders of penis,Priapism,604,HP_0200023
,"Chronic Kidney Disease, Stage IV",Renal insufficiency,585.34,HP_0000083
,Nonsenile Cataract,Nuclear cataract,366.1,HP_0100018
,Fever of unknown origin,Persistent fever,783,HP_0033399
,Respiratory insufficiency,Respiratory insufficiency,509.2,HP_0002093
,"Other congenital anomalies of lower limb, including pelvic girdle",Proximal femoral focal deficiency,755.6,HP_0030772
,Telogen effluvium,Abnormality of the skin,704.12,HP_0000951
,Cellulitis and abscess of face/neck,Periorbital edema,681.2,HP_0100539
,Secondary hyperparathyroidism (of renal origin),Abnormality of the genitourinary system,588.2,HP_0000119
,Cancer of eye,Retinoblastoma,190,HP_0009919
,Cancer of eye,Uveal melanoma,190,HP_0007716
,Epilepsy,Generalized non-convulsive status epilepticus without coma,345.1,HP_0032860
,Hyperlipidemia,Hypercholesterolemia,272.1,HP_0003124
,Kyphosis (acquired),Thoracolumbar kyphosis,737.1,HP_0005619
,Congenital anomalies of skull and face bones,Oxycephaly,749.2,HP_0000263
,Congenital anomalies of skin,Periostosis,691,HP_0030314
,Peptic ulcer (excl. esophageal),Duodenal ulcer,531,HP_0002588
,Disorders of function of stomach,Achlorhydria,536,HP_0032448
,Other intestinal obstruction,Intussusception,560.4,HP_0002576
,Infections of genitourinary tract during pregnancy,Recurrent urinary tract infections,647.1,HP_0000010
,Other hypertrophic and atrophic conditions of skin,Keloids,701,HP_0010562
,"Malignant neoplasm, other",Malignant neoplasm of the central nervous system,195.1,HP_0100836
,Symptoms involving digestive system,Bowel urgency,561,HP_0012701
,Mixed hyperlipidemia,Myocardial infarction,272.13,HP_0001658
,Choroidal degenerations,obsolete Choroidal degeneration,363.4,HP_0007945
,Diverticulosis,Bowel diverticulosis,562.1,HP_0005222
,Nystagmus and other irregular eye movements,Pendular nystagmus,378.2,HP_0012043
,Pulmonary collapse; interstitial and compensatory emphysema,Pneumothorax,508,HP_0002107
,Alopecia,Alopecia universalis,704.1,HP_0002289
,Ectropion or entropion,Ectropion of lower eyelids,374.1,HP_0007651
,Glossitis,Geographic tongue,529.1,HP_0025252
,Myoneural disorders,Peripheral neuropathy,358,HP_0009830
,Autism,Psychotic episodes,313.3,HP_0000725
,Viral pneumonia,Recurrent viral pneumonia,480.2,HP_0033214
,Other peripheral nerve disorders,Constrictive median neuropathy,351,HP_0012185
,Gastrointestinal complications,Ileus,569.2,HP_0002595
,Sexually transmitted infections (not HIV or hepatitis),Retrobulbar optic neuritis,090,HP_0100654
,Benign neoplasm of breast,Neoplasm,610.4,HP_0002664
,Anomalous atrioventricular excitation,Tachycardia,426.4,HP_0001649
,Other specified disorders involving the immune mechanism,Complement deficiency,279.8,HP_0004431
,Dyschromia and Vitiligo,Nevus,694,HP_0003764
,Peripheral autonomic neuropathy,Horner syndrome,337.1,HP_0002277
,Atrioventricular [AV] block,Mobitz I atrioventricular block,426.2,HP_0011707
,Ischemic Heart Disease,Acute coronary syndrome,411,HP_0033678
,Occlusion and stenosis of precerebral arteries,Cerebral artery atherosclerosis,433.1,HP_0007201
,Congenital anomaly of fingers/toes,Postaxial hand polydactyly,755.3,HP_0001162
,Changes in skin texture,Dry skin,687.3,HP_0000958
,Strabismus and other disorders of binocular eye movements,Esophoria,378,HP_0025312
,Chronic lymphocytic thyroiditis,Abnormality of the thyroid gland,245.21,HP_0000820
,Other disorders of male genital organs,Epididymal cyst,608,HP_0030424
,Neural tube defects,Lipomyelomeningocele,752.1,HP_0025480
,Other abnormality of urination,Pollakisuria,599.9,HP_0100515
,Sebaceous cyst,Trichilemmal cyst,706.2,HP_0025246
,Other intestinal obstruction,Intestinal pseudo-obstruction,560.4,HP_0004389
,Nervous system congenital anomalies,Amyelia,752,HP_0100566
,Adverse drug events and drug allergies,Abnormality of the gastrointestinal tract,979,HP_0011024
,Abnormal findings on examination of urine,Rhabdomyolysis,598,HP_0003201
,Rheumatic disease of the heart valves,Congenital mitral stenosis,394,HP_0011570
,Coronary atherosclerosis,Pulmonary arteriovenous malformation,411.4,HP_0006548
,Other disorders of male genital organs,Testicular pain,608,HP_0033839
,Simple and unspecified goiter,Euthyroid goiter,240,HP_0009798
,Other and unspecified disorders of the nervous system,Encephalopathy,349,HP_0001298
,Pervasive developmental disorders,Hyperactivity,313,HP_0000752
,Acute pulmonary heart disease,Pulmonary fat embolism,415.1,HP_0032008
,Glomerulonephritis,Nephropathy,580.1,HP_0000112
,First degree AV block,Left anterior fascicular block,426.21,HP_0011711
,"Diseases of nail, NOS",Melanonychia,703,HP_0100644
,Hemarthrosis,Joint hemorrhage,741.5,HP_0005261
,Acquired deformities of finger,Mallet finger,736.2,HP_0030771
,Other benign neoplasm of connective and other soft tissue,Ganglioneuroma,215,HP_0003005
