"phecode","phecode_string","LB_cat"
710.22,"Coxa vara","Musc/Skel"
710.31,"Genu valgum (acquired)","Musc/Skel"
710.32,"Genu varum (acquired)","Musc/Skel"
710.6,"Unequal limb length (acquired)","Musc/Skel"
710.44,"Foot drop (acquired)*","Musc/Skel"
710.41,"Flat foot [pes planus]","Musc/Skel"
710.42,"Club foot","Musc/Skel"
710.43,"Cavus deformity of foot","Musc/Skel"
710.45,"Claw foot, acquired","Musc/Skel"
125.1,"Cutaneous mastocytosis*","Neoplasms"
712.1,"Loose body in joint","Musc/Skel"
200.1,"Hypothyroidism","Endo"
712.3,"Articular cartilage disorder","Musc/Skel"
712.4,"Ankylosis of joint","Musc/Skel"
712.5,"Disorder of ligament","Musc/Skel"
710.23,"Protrusio acetabuli","Musc/Skel"
712.6,"Instability of joint","Musc/Skel"
712.61,"Recurrent dislocation of joint","Musc/Skel"
711,"Disorder of patella","Musc/Skel"
711.1,"Derangement of meniscus","Musc/Skel"
460.2,"Acute lower respiratory infection","Resp"
713.2,"Effusion of joint","Musc/Skel"
713.3,"Pain in joint","Musc/Skel"
713.4,"Stiffness of joint","Musc/Skel"
712.62,"Pathological dislocation of joint","Musc/Skel"
712.63,"Spinal instabilities*","Musc/Skel"
713.5,"Clicking hip*","Musc/Skel"
474.13,"Centrilobular emphysema*","Resp"
733.1,"Major anomalies of jaw size","Musc/Skel"
733.11,"Maxillary hyperplasia","Musc/Skel"
733.12,"Maxillary hypoplasia","Musc/Skel"
733.13,"Mandibular hyperplasia","Musc/Skel"
733.14,"Mandibular hypoplasia","Musc/Skel"
733.6,"Temporomandibular joint disorders","Musc/Skel"
733.61,"Adhesions and ankylosis of temporomandibular joint","Musc/Skel"
733.62,"Arthralgia of temporomandibular joint","Musc/Skel"
733.63,"Temporomandibular joint disorders articular disc disorder (reducing or non-reducing)","Musc/Skel"
733.7,"Anomalies of jaw-cranial base relationship","Musc/Skel"
733.15,"Macrogenia","Musc/Skel"
733.16,"Microgenia","Musc/Skel"
733.41,"Limited mandibular range of motion","Musc/Skel"
714,"Deforming dorsopathies","Musc/Skel"
714.2,"Lordosis","Musc/Skel"
714.3,"Scoliosis","Musc/Skel"
714.31,"Idiopathic scoliosis","Musc/Skel"
714.32,"Thoracogenic scoliosis","Musc/Skel"
714.33,"Scoliosis associated with other conditions","Musc/Skel"
719.93,"Contracture of muscle*","Musc/Skel"
730.2,"Ehlers-Danlos syndrome","Musc/Skel"
706.6,"Discitis*","Musc/Skel"
715.6,"Kissing spine","Musc/Skel"
716,"Intervertebral disc disorder","Musc/Skel"
716.1,"Schmorl's nodes","Musc/Skel"
716.2,"Degenerative disc disease","Musc/Skel"
716.3,"Spinal disc displacement (herniation)","Musc/Skel"
469.2,"Chronic bronchitis","Resp"
718,"Back pain","Musc/Skel"
718.1,"Radiculopathy","Musc/Skel"
718.2,"Cervicalgia","Musc/Skel"
718.3,"Mid back pain","Musc/Skel"
718.4,"Low back pain","Musc/Skel"
717.3,"Occipital neuralgia*","Musc/Skel"
718.5,"Sciatica","Musc/Skel"
700.43,"Polymyositis","Musc/Skel"
719.2,"Muscle calcification and ossification","Musc/Skel"
719.21,"Myositis ossificans progressiva","Musc/Skel"
719.22,"Myositis ossificans traumatica","Musc/Skel"
719.4,"Rupture of muscle (nontraumatic)","Musc/Skel"
719.5,"Compartment syndrome and nontraumatic ischemic infarction of muscle","Musc/Skel"
719.8,"Rhabdomyolysis","Musc/Skel"
719.9,"Contractures","Musc/Skel"
721.15,"Infective (teno)synovitis*","Musc/Skel"
721.4,"Calcium deposits in tendon and bursa","Musc/Skel"
721.2,"Ganglion cyst","Musc/Skel"
721.3,"Plica syndrome","Musc/Skel"
722,"Fasciopathy","Musc/Skel"
721.6,"Baker's cyst [popliteal cyst]","Musc/Skel"
721.5,"Bursitis","Musc/Skel"
721.7,"Synovial hypertrophy*","Musc/Skel"
722.1,"Plantar fascial fibromatosis [Plantar fasciitis]","Musc/Skel"
722.2,"Pseudosarcomatous fibromatosis [Nodular fasciitis]*","Musc/Skel"
722.3,"Necrotizing fasciitis","Musc/Skel"
723,"Enthesopathy/Enthesitis/Tendinopathy","Musc/Skel"
723.1,"Adhesive capsulitis of shoulder","Musc/Skel"
723.2,"Rotator cuff tear or rupture","Musc/Skel"
723.3,"Medial epicondylitis (Golfer's elbow)","Musc/Skel"
723.6,"Impingement syndrome of shoulder*","Musc/Skel"
723.4,"Lateral epicondylitis (Tennis elbow)","Musc/Skel"
723.5,"Tendinitis","Musc/Skel"
723.7,"Iliotibial band syndrome*","Musc/Skel"
724.4,"Panniculitis","Musc/Skel"
724.5,"Exostosis","Musc/Skel"
724.52,"Osteophyte*","Musc/Skel"
479.1,"Acute respiratory distress syndrome [ARDS]*","Resp"
482.2,"Pyothorax (empyema)","Resp"
284.24,"Self-harm by drowning","Mental"
284.22,"Self-harm by drug or medicinal substance","Mental"
483,"Pleural effusion","Resp"
479.3,"Respiratory failure","Resp"
479.31,"Acute respiratory failure","Resp"
485,"Chronic respiratory failure","Resp"
479.6,"Pulmonary collapse [Atelectasis]","Resp"
486.2,"Other diseases of bronchus","Resp"
486.3,"Other diseases of mediastinum","Resp"
486.4,"Disorders of diaphragm","Resp"
486.21,"Bronchospasm","Resp"
486.31,"Mediastinitis","Resp"
484.4,"Interstitial emphysema [Pneumomediastinum]","Resp"
486.7,"Compensatory emphysema","Resp"
487,"Hemorrhage from respiratory passages","Resp"
487.1,"Epistaxis","Resp"
487.2,"Hemorrhage from throat","Resp"
487.3,"Hemoptysis","Resp"
488,"Abnormalities of breathing","Resp"
296.5,"Histrionic personality disorder","Mental"
488.5,"Stridor","Resp"
488.1,"Dyspnea [Shortness of breath]","Resp"
488.2,"Hyperventilation","Resp"
488.3,"Periodic breathing [Cheyne-Stokes]","Resp"
488.4,"Tachypnea","Resp"
488.11,"Orthopnea","Resp"
296.4,"Borderline personality disorder","Mental"
488.6,"Wheezing","Resp"
488.7,"Apnea NEC","Resp"
488.8,"Mouth breathing*","Resp"
494,"Voice disturbance","Resp"
296.3,"Antisocial personality disorder","Mental"
800,"Chest pain","Signs/Symptoms"
800.1,"Chest pain on breathing","Signs/Symptoms"
800.2,"Precordial pain","Signs/Symptoms"
800.11,"Pleurodynia*","Signs/Symptoms"
800.3,"Intercostal pain*","Signs/Symptoms"
499,"Other symptoms and disorders of the respiratory system","Resp"
498,"Asphyxia and hypoxemia","Resp"
498.1,"Hypoxemia","Resp"
495.1,"Solitary pulmonary nodule","Resp"
496,"Abnormal results of pulmonary function studies","Resp"
465.11,"Streptococcal tonsillitis/pharyngitis","Resp"
284.25,"Self-harm by firearm or explosives","Mental"
284.26,"Self-harm by burns","Mental"
284.27,"Self-harm by sharp object","Mental"
284.28,"Self-harm by jumping from a high place","Mental"
171.711,"Idiopathic hypereosinophilic syndrome*","Blood"
522.1,"Inflammatory bowel disease","GI"
247.41,"Hypermagnesemia*","Metab"
170.2,"Lymphocytopenia","Blood"
172,"Other disorders of white blood cells","Blood"
208.21,"Primary hyperparathyroidism","Endo"
205.1,"Nondiabetic hypoglycemic coma","Endo"
"B239.32","Body mass index [BMI] 26, adult","Stat"
"B239.33","Body mass index [BMI] 27, adult","Stat"
"B239.34","Body mass index [BMI] 28, adult","Stat"
"B239.35","Body mass index [BMI] 29, adult","Stat"
"B239.41","Body mass index [BMI] 31, adult","Stat"
"B239.42","Body mass index [BMI] 32, adult","Stat"
"B239.43","Body mass index [BMI] 33, adult","Stat"
"B239.44","Body mass index [BMI] 34, adult","Stat"
"B239.45","Body mass index [BMI] 35, adult","Stat"
"B239.46","Body mass index [BMI] 36, adult","Stat"
"B239.47","Body mass index [BMI] 37, adult","Stat"
"B239.48","Body mass index [BMI] 38, adult","Stat"
"B239.49","Body mass index [BMI] 39, adult","Stat"
"B239.36","Body mass index [BMI] 30, adult","Stat"
"B239.51","Body mass index [BMI] 40-44, adult","Stat"
"B239.52","Body mass index [BMI] 45-49, adult","Stat"
"B239.53","Body mass index [BMI] 50-59, adult","Stat"
"B239.54","Body mass index [BMI] 60-69, adult","Stat"
"B239.55","Body mass index [BMI] 70+, adult","Stat"
"B238.1","Body mass index [BMI] <5th percentile, pediatric","Stat"
"B238.2","Body mass index [BMI] <5th to 85th percentile, pediatric","Stat"
"B238.3","Body mass index [BMI] 85th to 95th percentile, pediatric","Stat"
"B238.4","Body mass index [BMI] >95th percentile, pediatric","Stat"
281,"Substance abuse, dependence, and withdrawl","Mental"
281.1,"Substance abuse","Mental"
281.2,"Substance dependence","Mental"
281.21,"Substance withdrawal","Mental"
893.9,"Behavioral insomnia of childhood","Dev"
283,"Other behavioral problems","Mental"
283.5,"Wandering in diseases classified elsewhere","Mental"
283.4,"Patient's noncompliance with medical treatment and regimen","Mental"
283.3,"High risk sexual behavior","Mental"
282,"Nicotine dependence (current and history of)","Mental"
283.8,"Problems related to lifestyle","Mental"
238,"Micronutrient excess","Metab"
238.3,"Megavitamin-B6 syndrome*","Metab"
238.4,"Hypervitaminosis D","Metab"
257,"Polydipsia","Metab"
237,"Abnormal weight gain","Metab"
169,"Platelet defects","Blood"
162.8,"Pancytopenia","Blood"
160,"Nutritional anemias","Blood"
160.1,"Iron deficiency anemia","Blood"
160.2,"Megaloblastic anemia","Blood"
160.4,"Other deficiency anemia","Blood"
161.1,"Intrinsic (hereditary) hemolytic anemias","Blood"
161.16,"Other anemias due to enzyme disorders","Blood"
161.11,"Hereditary spherocytosis","Blood"
161.12,"Hereditary elliptocytosis","Blood"
161.13,"Disorders of glutathione metabolism","Blood"
162.2,"Acquired pure red cell aplasia [erythroblastopenia]","Blood"
162.1,"Constitutional (hereditary) aplastic anemia","Blood"
162.3,"Aplastic anemia due to drugs or other external agents*","Blood"
162.4,"Idiopathic aplastic anemia*","Blood"
162.5,"Myelophthisis","Blood"
162.61,"Hereditary sideroblastic anemia*","Blood"
162.62,"Secondary sideroblastic anemia due to disease*","Blood"
162.7,"Congenital dyserythropoietic anemia*","Blood"
164,"Anemia","Blood"
164.1,"Microcytic anemia","Blood"
164.2,"Macrocytic anemia","Blood"
164.3,"Acute posthemorrhagic anemia","Blood"
164.6,"Anemia secondary to chronic diseases and conditions","Blood"
168.21,"Primary hypercoagulable state [Primary thrombophilia]","Blood"
168.114,"Von Willebrand's disease","Blood"
168.211,"Activated protein C resistance*","Blood"
168.212,"Prothrombin gene mutation*","Blood"
170,"Decreased white blood cell count","Blood"
170.11,"Congenital agranulocytosis","Blood"
170.12,"Drug induced neutropenia","Blood"
170.13,"Neutropenia due to infection","Blood"
170.14,"Cyclic neutropenia","Blood"
170.19,"Neutropenia NOS","Blood"
171.5,"Basophilia","Blood"
171.6,"Bandemia","Blood"
823.2,"Abnormal levels of other serum enzymes","Signs/Symptoms"
826.4,"Other and unspecified nonspecific immunological findings","Signs/Symptoms"
824.3,"Abnormality of alphafetoprotein*","Signs/Symptoms"
827.1,"Finding of alcohol in blood","Signs/Symptoms"
174.1,"Hyposplenism*","Blood"
174.2,"Splenomegaly","Blood"
174.21,"Hypersplenism","Blood"
174.22,"Chronic congestive splenomegaly","Blood"
174.23,"Neutropenic splenomegaly","Blood"
174.5,"Abscess of spleen*","Blood"
174.6,"Cyst of spleen*","Blood"
174.7,"Infarction of spleen*","Blood"
175,"Polycythemias","Blood"
175.2,"Secondary polycythemia","Blood"
180,"Other disorders involving the immune mechanism","Blood"
180.2,"Polyclonal hypergammaglobulinemia","Blood"
180.3,"Paraproteinemias","Blood"
180.31,"Monoclonal gammopathy","Blood"
125,"Other malignant neoplasms of lymphoid, hematopoietic and related tissue","Neoplasms"
180.4,"Cryoglobulinemia*","Blood"
239,"Hyperlipidemia","Metab"
239.11,"Pure hypercholesterolemia","Metab"
239.12,"Familial hypercholesterolemia*","Metab"
239.21,"Pure hyperglyceridemia","Metab"
239.3,"Mixed hyperlipidemia","Metab"
239.13,"Elevated Lipoprotein(a)*","Metab"
240,"Disorders of amino-acid transport and metabolism","Metab"
510.2,"Esophagitis","GI"
242,"Lipid storage disorders","Metab"
242.2,"Sphingolipidosis","Metab"
252,"Other and unspecified disorders of metabolism","Metab"
247.711,"Hereditary hemochromatosis","Metab"
247.712,"Hemochromatosis due to repeated red blood cell transfusions","Metab"
247.31,"Familial hypophosphatemia*","Metab"
247.42,"Hypomagnesemia*","Metab"
840.9,"Anaphylactic reaction","Signs/Symptoms"
704.8,"Thromboangiitis obliterans [Buerger's disease]","Musc/Skel"
704.7,"Cerebral arteritis","Musc/Skel"
704.6,"Aortic arch syndrome [Takayasu's disease]","Musc/Skel"
704.4,"Hypersensitivity angiitis","Musc/Skel"
114.5,"Paraganglioma","Neoplasms"
475.7,"Allergic bronchopulmonary aspergillosis","Resp"
835,"Cytology and pathology findings","Signs/Symptoms"
430.4,"Nontraumatic extradural hemorrhage","Cardio"
431.11,"Cerebral infarction [Ischemic stroke]","Cardio"
431.14,"Cerebellar stroke syndrome*","Cardio"
431.15,"Lacunar syndrome*","Cardio"
433.34,"Cerebral artery syndrome (middle, anterior, posterior)*","Cardio"
433.32,"Vertebro-basilar artery syndrome","Cardio"
433.2,"Occlusion and stenosis of precerebral arteries","Cardio"
440.13,"Phlebitis and thrombophlebitis","Cardio"
704.5,"Giant cell arteritis","Musc/Skel"
704.1,"Polyarteritis nodosa and related conditions","Musc/Skel"
433.31,"Cerebrovascular vasospasm and vasoconstriction*","Cardio"
436.23,"Chronic total occlusion of artery of the extremities","Cardio"
340.3,"Inflammatory and immune myopathies","Neuro"
342.3,"Diplegia of upper limbs","Neuro"
342.4,"Monoplegia","Neuro"
342,"Plegia and unspecified paralysis","Neuro"
342.5,"Paralysis NOS","Neuro"
346.5,"Compression of brain","Neuro"
360.4,"Blepharitis","Eye"
360.41,"Ulcerative blepharitis","Eye"
360.42,"Squamous blepharitis","Eye"
360.13,"Abscess of eyelid","Eye"
362.4,"Hypotrichosis of eyelid [Madarosis]","Eye"
361.13,"Spastic entropion","Eye"
361.14,"Cicatricial entropion","Eye"
361.15,"Trichiasis of eyelid without entropion","Eye"
361.9,"Ectropion of eyelid","Eye"
361.91,"Senile ectropion","Eye"
361.92,"Mechanical ectropion","Eye"
361.93,"Spastic ectropion","Eye"
361.94,"Cicatricial ectropion","Eye"
361.22,"Mechanical lagophthalmos","Eye"
361.33,"Myogenic ptosis of eyelid","Eye"
361.32,"Mechanical ptosis of eyelid","Eye"
361.35,"Paralytic ptosis","Eye"
361.6,"Sensorimotor disorders of eyelid","Eye"
362,"Other disorders of the eyelids","Eye"
362.5,"Cysts of eyelid","Eye"
362.6,"Dermatochalasis of eyelid","Eye"
362.7,"Edema of eyelid","Eye"
362.8,"Meibomian gland dysfunction of eyelid*","Eye"
363.5,"Epiphora","Eye"
363.52,"Epiphora due to insufficient drainage","Eye"
363.6,"Inflammation of lacrimal passages","Eye"
363.61,"Dacryocystitis","Eye"
363.62,"Canaliculitis","Eye"
363.63,"Lacrimal mucocele","Eye"
363.7,"Stenosis and insufficiency of lacrimal passages","Eye"
363.8,"Granuloma of lacrimal passages","Eye"
367.41,"Cellulitis of orbit","Eye"
367.42,"Granuloma of orbit","Eye"
374.1,"Retinal detachments and breaks","Eye"
365.3,"Exophthalmos [Proptosis]","Eye"
366.21,"Pinguecula","Eye"
365.2,"Orbital edema or congestion","Eye"
365.33,"Lateral displacement of globe","Eye"
365.4,"Orbital cysts","Eye"
365.5,"Myopathy of extraocular muscles","Eye"
365.6,"Deformity of orbit","Eye"
367.12,"Allergic [atopic] conjunctivitis","Eye"
525.1,"Celiac disease","GI"
366.42,"Conjunctival hyperemia","Eye"
367.21,"Corneal ulcer","Eye"
367.22,"Punctate keratitis","Eye"
367.9,"Chorioretinal inflammation","Eye"
367.56,"Vogt-Koyanagi-Harada Disease","Eye"
367.32,"Neurotrophic keratoconjunctivitis","Eye"
369.62,"Keratoconus","Eye"
369.14,"Corneal pigmentations","Eye"
247.13,"Kayser-Fleischer ring","Metab"
369.15,"Corneal deposits","Eye"
370.2,"Cyst of iris, ciliary body and anterior chamber","Eye"
370.3,"Vascular disorders of iris and ciliary body","Eye"
370.4,"Adhesions and disruptions of iris and ciliary body","Eye"
370.5,"","Eye"
370.6,"Floppy iris syndrome","Eye"
371.21,"Anterior subcapsular polar cataract","Eye"
371.22,"Posterior subcapsular polar cataract","Eye"
371.3,"Nuclear cataract","Eye"
372.1,"Aphakia","Eye"
372.2,"Dislocation of lens","Eye"
373.1,"Chorioretinal scars","Eye"
373.11,"Solar retinopathy","Eye"
783,"Congenital deformities of hip","Cong"
373.31,"Choroideremia","Eye"
377.4,"Retinal hemorrhage","Eye"
374.11,"Serous retinal detachment","Eye"
374.12,"Traction detachment of retina","Eye"
374.2,"Retinoschisis and retinal cysts","Eye"
374.3,"Retinal vascular changes and occlusions","Eye"
374.21,"Retinoschisis","Eye"
374.22,"Retinal cysts","Eye"
374.13,"Horseshoe tear of retina without detachment","Eye"
374.14,"Round hole of retina without detachment","Eye"
374.31,"Exudative retinopathy","Eye"
374.32,"Retinal microaneurysms","Eye"
374.33,"Retinal neovascularization","Eye"
374.34,"Retinal vasculitis","Eye"
374.35,"Retinal telangiectasis","Eye"
374.36,"Retinal ischemia","Eye"
374.4,"Retinal disorders in diseases classified elsewhere","Eye"
374.51,"Age-related macular degeneration","Eye"
374.52,"Macular cyst, hole, or pseudohole","Eye"
374.53,"Cystoid macular degeneration","Eye"
374.54,"Drusen (degenerative) of macula","Eye"
374.6,"Peripheral retinal degeneration","Eye"
374.61,"Lattice degeneration of retina","Eye"
374.7,"Retinal dystrophy","Eye"
374.55,"Puckering of macula","Eye"
374.56,"Toxic maculopathy of retina","Eye"
374.57,"Angioid streaks of macula","Eye"
374.8,"Retinal edema","Eye"
374.71,"Pigmentary retinal dystrophy","Eye"
374.37,"Retinal arterial occlusions","Eye"
374.38,"Retinal vein occlusions","Eye"
374.9,"Central serous chorioretinopathy","Eye"
374.511,"Nonexuadative (dry) age-related macular degeneration","Eye"
374.41,"Hypertensive retinopathy","Eye"
374.42,"Diabetic retinopathy","Eye"
375.121,"Aqueous misdirection","Eye"
375.8,"Secondary glaucoma","Eye"
375.61,"Blind hypertensive eye","Eye"
375.71,"Blind hypotensive eye","Eye"
376,"Disorders of vitreous body","Eye"
376.1,"Vitreous degeneration","Eye"
376.2,"Vitreous opacities","Eye"
376.21,"Crystalline deposits in vitreous body","Eye"
376.22,"Vitreous membranes and strands","Eye"
376.3,"Vitreous prolapse","Eye"
376.4,"Vitreomacular adhesion","Eye"
377,"Hemorrhage of the eye","Eye"
377.1,"Hemorrhage of orbit","Eye"
377.2,"Conjunctival hemorrhage","Eye"
377.3,"Choroidal hemorrhage and rupture","Eye"
377.5,"Vitreous hemorrhage","Eye"
377.6,"Hemorrhage in optic nerve sheath","Eye"
369.3,"Corneal neovascularization","Eye"
377.7,"Hemophthalmos","Eye"
381.3,"Esotropia","Eye"
468.28,"Pneumonia due to Mycoplasma pneumoniae","Resp"
468.29,"Tuberculosis pneumonia","Resp"
500,"Disorders of tooth develoment","GI"
500.2,"Abnormalities of size and form of teeth","GI"
500.1,"Anodontia","GI"
500.3,"Supernumerary teeth","GI"
500.4,"Disturbances in tooth eruption","GI"
500.41,"Impacted teeth*","GI"
501,"Dental caries","GI"
500.6,"Ankylosis of teeth","GI"
502,"Other diseases of teeth and supporting structures","GI"
502.1,"Dental attrition and abrasion","GI"
502.2,"Cracked tooth","GI"
502.3,"Deposits [accretions] on teeth","GI"
502.4,"Pathological resorption of teeth","GI"
502.6,"Loss of teeth and edentulism","GI"
502.5,"Hypercementosis","GI"
504.4,"Gingival enlargement*","GI"
502.7,"Atrophy of edentulous alveolar ridge","GI"
506.2,"Hypertrophy of salivary gland","GI"
506.4,"Sialolithiasis","GI"
506.5,"Disturbances of salivary secretion","GI"
507,"Lesions of mouth","GI"
507.1,"Stomatitis","GI"
507.11,"Recurrent oral aphthae [Recurrent aphthous stomatitis]","GI"
507.2,"Cellulitis and abscess of mouth","GI"
507.31,"Hairy leukoplakia*","GI"
508,"Diseases of lips","GI"
509,"Diseases of tongue","GI"
509.1,"Glossitis","GI"
509.2,"Geographic tongue","GI"
509.3,"Hypertrophy of tongue papillae","GI"
509.4,"Atrophy of tongue papillae","GI"
509.11,"Glossodynia","GI"
509.5,"Plicated tongue","GI"
506.51,"Dry mouth*","GI"
510,"Diseases of esophagus","GI"
522.63,"Eosinophilic colitis","GI"
510.4,"Perforation of esophagus","GI"
510.5,"Dyskinesia of esophagus","GI"
510.6,"Diverticulum of esophagus","GI"
513.1,"Esophageal ulcer","GI"
522.62,"Eosinophilic gastroenteritis","GI"
510.7,"Gastroesophageal laceration-hemorrhage syndrome [Mallory-Weiss tear]","GI"
510.8,"Barrett's esophagus","GI"
511,"Gastro-esophageal reflux disease","GI"
514.2,"Intestinal obstruction","GI"
513,"Peptic ulcer","GI"
513.2,"Gastric ulcer","GI"
513.3,"Duodenal ulcer","GI"
513.4,"Gastrojejunal ulcer","GI"
522.14,"Microscopic colitis*","GI"
514,"Gastrointestinal obstruction","GI"
514.1,"Esophageal obstruction (Stricture and stenosis of esophagus)","GI"
514.31,"Paralytic ileus","GI"
516,"Other diseases of stomach and duodenum","GI"
514.21,"Impaction of intestine","GI"
516.1,"Pyloric stenosis","GI"
750.3,"Megalencephaly*","Cong"
516.3,"Fistula of stomach and duodenum","GI"
517,"Gastrointestinal angiodysplasia","GI"
516.6,"Achlorhydria","GI"
516.4,"Gastroparesis","GI"
516.5,"Acute dilatation of stomach","GI"
518,"Appendicitis","GI"
520.2,"Diaphragmatic hernia [Hiatal hernia]","GI"
520.13,"Umbilical hernia","GI"
520.14,"Ventral hernia","GI"
520.15,"Incisional hernia","GI"
523.1,"Diverticula of small intestine","GI"
522.4,"Toxic gastroenteritis and colitis","GI"
522.5,"Allergic and dietetic gastroenteritis and colitis","GI"
522.6,"Eosinophilic gastroenteritis and colitis","GI"
512,"Dysphagia","GI"
522.91,"Atrophic gastritis","GI"
522.61,"Eosinophilic esophagitis","GI"
751.11,"Spina bifida occulta","Cong"
522.9,"Gastritis","GI"
523.3,"Gastric diverticulum","GI"
770.51,"Vaginal agenesis","Cong"
770.52,"Vaginal septum","Cong"
770.53,"Imperforate hymen","Cong"
770.6,"Congenital malformations of vulva*","Cong"
770.61,"Fusion of labia*","Cong"
771,"Congenital malformations of male genital organs","Cong"
771.1,"Undescended and ectopic testicle","Cong"
771.2,"Congenital malformations of penis","Cong"
771.21,"Hypospadias","Cong"
771.22,"Congenital chordee","Cong"
771.23,"Hypoplasia of penis","Cong"
771.24,"Hidden penis","Cong"
771.11,"Undescended testis [Cryptorchidism]","Cong"
771.12,"Retractile testis","Cong"
771.25,"Congenital torsion of penis*","Cong"
771.26,"Curvature of penis (lateral)*","Cong"
771.4,"Scrotal transposition","Cong"
771.5,"Atresia of vas deferens*","Cong"
772,"Indeterminate sex and pseudohermaphroditism","Cong"
772.1,"Hermaphroditism","Cong"
772.2,"Pseudohermaphroditism*","Cong"
773,"Congenital malformation of kidney","Cong"
773.1,"Renal hypoplasia/aplasia","Cong"
773.11,"Renal agenesis*","Cong"
773.12,"Renal hypoplasia*","Cong"
773.2,"Renal dysplasia","Cong"
773.3,"Cystic kidney disease","Cong"
773.31,"Medullary cystic kidney","Cong"
773.6,"Accessory kidney*","Cong"
773.7,"Lobulated, fused and horseshoe kidney*","Cong"
773.8,"Ectopic kidney*","Cong"
774.2,"Congenital ureterocele","Cong"
774.3,"Congenital megaureter*","Cong"
774.4,"Agenesis of ureter*","Cong"
774.5,"Duplication of ureter*","Cong"
774.6,"Malposition of ureter*","Cong"
775,"Other congenital malformations of urinary system","Cong"
775.1,"Exstrophy","Cong"
775.2,"Congenital posterior urethral valves*","Cong"
775.3,"Atresia and stenosis of urethra and bladder neck, congenital","Cong"
775.4,"Abnormality of the urachus","Cong"
775.5,"Congenital absence of bladder and urethra*","Cong"
777.11,"Laryngeal web","Cong"
777.13,"Laryngeal hypoplasia*","Cong"
777.14,"Laryngocele*","Cong"
777.15,"Congenital laryngomalacia*","Cong"
777.2,"Congenital malformations of trachea and bronchus*","Cong"
777.3,"Congenital malformations of lung","Cong"
777.31,"Congenital cystic lung","Cong"
777.32,"Congenital bronchiectasis","Cong"
777.33,"Congenital hypoplasia and dysplasia of lung","Cong"
777.34,"Accessory lobe of lung*","Cong"
777.35,"Sequestration of lung [Pulmonary sequestration]*","Cong"
778,"Congenital malformations of great arteries","Cong"
778.1,"Common arterial trunk [Truncus arteriosus]","Cong"
778.2,"Transposition of great vessels","Cong"
778.41,"Coarctation of aorta","Cong"
778.42,"Interruption of aortic arch","Cong"
778.4,"Congenital anomalies of aorta","Cong"
778.43,"Congenital atresia and stenosis of aorta","Cong"
778.44,"Aplasia or hypoplasia of aorta*","Cong"
778.45,"Congenital dilation of aorta*","Cong"
778.46,"Vascular ring of aorta*","Cong"
778.47,"Right aortic arch*","Cong"
778.5,"Anomalies of pulmonary artery, congenital","Cong"
778.52,"Stenosis of pulmonary artery*","Cong"
778.51,"Pulmonary artery coarctation and atresia","Cong"
779,"Congenital malformations of heart valves","Cong"
779.1,"Anomalies of pulmonary valve, congenital","Cong"
779.11,"Pulmonary valve atresia","Cong"
779.12,"Congenital pulmonary valve stenosis","Cong"
779.13,"Congenital pulmonary valve insufficiency*","Cong"
780,"Other congenital anomalies of heart","Cong"
779.2,"Congenital malformations of tricuspid valve","Cong"
779.21,"Congenital tricuspid stenosis*","Cong"
779.22,"Ebstein anomaly of the tricuspid valve","Cong"
779.3,"Congenital malformation of aortic and mitral valves","Cong"
779.31,"Congenital stenosis of aortic valve","Cong"
779.32,"Congenital insufficiency of aortic valve","Cong"
779.33,"Congenital mitral stenosis","Cong"
779.34,"Congenital mitral insufficiency","Cong"
778.6,"Double outlet right ventricle","Cong"
778.7,"Double outlet left ventricle","Cong"
780.3,"Double inlet ventricle","Cong"
780.4,"Congenital malformations of cardiac septa","Cong"
780.51,"Hypoplastic right heart syndrome","Cong"
780.41,"Ventricular septal defect","Cong"
780.42,"Atrial septal defect","Cong"
780.43,"Atrioventricular septal defect","Cong"
780.44,"Tetralogy of Fallot","Cong"
780.45,"Aortopulmonary septal defect*","Cong"
780.52,"Hypoplastic left heart syndrome","Cong"
780.7,"Subaortic stenosis, congenital","Cong"
780.8,"Pulmonary infundibular stenosis","Cong"
780.1,"Coronary artery anomaly, congenital","Cong"
780.2,"Congenital heart block","Cong"
796.12,"Malposition of heart and cardiac apex","Cong"
780.5,"Hypoplastic heart","Cong"
780.6,"Cor triatriatum","Cong"
241.11,"Galactosemia","Metab"
241.21,"Hereditary fructose intolerance","Metab"
781,"Other congenital malformations of circulatory system","Cong"
530.2,"Anorectal abscess","GI"
781.2,"Congenital absence and hypoplasia of umbilical artery","Cong"
781.3,"Congenital malformations of renal artery","Cong"
781.4,"Anomalies of great veins, congenital","Cong"
781.41,"Anomalous pulmonary venous return","Cong"
781.42,"Persistent left superior vena cava*","Cong"
788.2,"Chondroectodermal dysplasia","Cong"
787.7,"Congenital spondylolisthesis","Cong"
788.1,"Chondrodystrophy","Cong"
788.3,"Osteogenesis imperfecta","Cong"
788.4,"Osteopetrosis","Cong"
788.5,"Polyostotic fibrous dysplasia","Cong"
788.6,"Progressive diaphyseal dysplasia [Multiple epiphyseal dysplasia]","Cong"
788.7,"Multiple congenital exostoses*","Cong"
789,"Other congenital malformations of musculoskeletal system","Cong"
789.1,"Congenital malformations of diaphragm","Cong"
789.21,"Exomphalos [Omphalocele]","Cong"
789.22,"Gastroschisis","Cong"
789.2,"Congenital malformations of abdominal wall","Cong"
789.11,"Congenital diaphragmatic hernia*","Cong"
789.3,"Prune belly syndrome","Cong"
790,"Congenital malformation of the skin","Cong"
